iter	MultiClass
0	1.207064282
1	1.067244604
2	0.9825999235
3	0.903512661
4	0.8581770713
5	0.8137679542
6	0.7716555564
7	0.7527315451
8	0.7106172064
9	0.682362261
10	0.6552541187
11	0.6366265367
12	0.6246587098
13	0.6030595658
14	0.5947519613
15	0.5756113206
16	0.562409082
17	0.5480201005
18	0.5354972158
19	0.526442047
20	0.5100507668
21	0.4999749896
22	0.4888759452
23	0.4761833292
24	0.4655939105
25	0.4591611835
26	0.4512560459
27	0.4433080702
28	0.4404886305
29	0.4309509764
30	0.4201784713
31	0.4135371094
32	0.4055993582
33	0.3952168336
34	0.3882727095
35	0.3832939984
36	0.3782174642
37	0.3727063012
38	0.3655574114
39	0.3624226205
40	0.3561574864
41	0.3510227068
42	0.3447287283
43	0.3376073422
44	0.333920141
45	0.3261304698
46	0.3202818959
47	0.3163462531
48	0.3134628409
49	0.3086245317
50	0.3042430585
51	0.2985436703
52	0.2933648803
53	0.2890505816
54	0.2849509829
55	0.2810208886
56	0.2769335027
57	0.2743697579
58	0.2692977161
59	0.2665193286
60	0.262804612
61	0.2606620901
62	0.2566340819
63	0.2519417339
64	0.2478493395
65	0.2449859872
66	0.2408422631
67	0.2377483199
68	0.2359737142
69	0.2330096767
70	0.230408598
71	0.2278674996
72	0.2248037536
73	0.2232337626
74	0.2210537694
75	0.2177692603
76	0.2152357807
77	0.2141926394
78	0.2118040928
79	0.2091298087
80	0.2062289533
81	0.2039030576
82	0.2001435913
83	0.197602304
84	0.1953111504
85	0.1925103685
86	0.1916970785
87	0.1896033394
88	0.188160691
89	0.185986573
90	0.1852432022
91	0.1826765444
92	0.1796401099
93	0.1781471949
94	0.1751886113
95	0.173083894
96	0.170471935
97	0.1682696674
98	0.1660110419
99	0.1644669054
100	0.1634337307
101	0.1622768413
102	0.1597855318
103	0.1581231855
104	0.1569946875
105	0.1559924763
106	0.1548692547
107	0.153657756
108	0.151841817
109	0.1502100219
110	0.1490287128
111	0.1473335417
112	0.1455760329
113	0.1444207834
114	0.1439561263
115	0.1423913991
116	0.1403480124
117	0.1394947985
118	0.1384361969
119	0.1365571224
120	0.13551228
121	0.1342911696
122	0.1334821894
123	0.1322272006
124	0.1310742227
125	0.129449394
126	0.1282851736
127	0.1266858689
128	0.1258279152
129	0.1248775645
130	0.1242552948
131	0.1227433863
132	0.121316079
133	0.1203405132
134	0.1194767451
135	0.1185781266
136	0.1176553227
137	0.1165200393
138	0.1156381555
139	0.1140683225
140	0.1131954027
141	0.1126960007
142	0.1116996824
143	0.1110191347
144	0.1101615833
145	0.109102201
146	0.1077394219
147	0.1071793469
148	0.1064912838
149	0.105667772
150	0.1042178314
151	0.1037042896
152	0.1029720233
153	0.1022078532
154	0.1011853785
155	0.1006246636
156	0.09970456762
157	0.09882578527
158	0.09802453837
159	0.09723945815
160	0.09655425181
161	0.09566701385
162	0.09491166899
163	0.09405706177
164	0.09347786251
165	0.09276603678
166	0.09216546921
167	0.0913474709
168	0.09061616033
169	0.09008914808
170	0.08946326032
171	0.08893994232
172	0.0883433242
173	0.08767733622
174	0.08691516449
175	0.08607370622
176	0.08566878742
177	0.08529664065
178	0.08491675164
179	0.0839882463
180	0.08329526265
181	0.08289657284
182	0.08209647678
183	0.08150699773
184	0.08087588429
185	0.08063794845
186	0.08022453764
187	0.07973502185
188	0.07951126825
189	0.07899941447
190	0.07825161451
191	0.07770043309
192	0.07702827654
193	0.0762890788
194	0.07571680535
195	0.07517968821
196	0.07462914356
197	0.07415055762
198	0.07379370555
199	0.0733831314
200	0.07301291182
201	0.07243791614
202	0.07160915077
203	0.07107959239
204	0.07063630226
205	0.07032259352
206	0.06990948771
207	0.06946775192
208	0.0692478863
209	0.06885257001
210	0.06839338815
211	0.06817058135
212	0.06784905135
213	0.06752517426
214	0.06712246453
215	0.06690663981
216	0.06651655579
217	0.06602003812
218	0.06564362161
219	0.06539763753
220	0.06486111343
221	0.06456962825
222	0.06427375346
223	0.06404550492
224	0.06347920665
225	0.06309459644
226	0.06276398904
227	0.06250754094
228	0.06217063045
229	0.06181095046
230	0.06141976192
231	0.06093026631
232	0.06075215427
233	0.06029390679
234	0.05975986517
235	0.05935117979
236	0.05903864043
237	0.05889138255
238	0.05850183889
239	0.05835755962
240	0.05790679357
241	0.0574590597
242	0.05705489335
243	0.05667517101
244	0.05653394871
245	0.05627261851
246	0.05612499459
247	0.05582809112
248	0.05552475373
249	0.0552184037
